id;Palabra;Lenguaje;Tipo
1;and;python;operador
2;as;python;n
3;assert;python;n
4;async;python;n
5;await;python;n
6;break;python;ciclo
7;class;python;n
8;continue;python;funcion
9;def;python;funcion
10;del;python;n
11;elif;python;condicional
12;else;python;condicional
13;except;python;n
14;False;python;n
15;finally;python;n
16;for;python;ciclo
17;from;python;n
18;global;python;n
19;if;python;condicional
20;import;python;n
21;in;python;n
22;is;python;n
23;lambda;python;n
24;None;python;n
25;nonlocal;python;n
26;not;python;operador
27;or;python;operador
28;pass;python;n
29;raise;python;n
30;return;python;n
31;True;python;n
32;try;python;n
33;while;python;ciclo
34;with;python;n
35;yield;python;n
